,Target,Available Business Disclosures,Disclosure,Sources,x,Source
1797,,"concerns related to tax, including:",,,,
1798,,i.  the approach to engagement with tax authorities;,,,,
1799,,ii.   the approach to public policy advocacy on tax;,,,,
1800,,"iii.  the processes for collecting and considering the views and concerns of stakeholders, including",,,,
1801,,external stakeholders.,,,,
1802,17.3,a.   All tax jurisdictions where the entities included in the organization’s audited consolidated financial,207-4,GRI 207: Tax 2019,,
1803,,"statements, or in the financial information filed on public record, are resident for tax purposes.",,,,
1804,,b.  For each tax jurisdiction reported in Disclosure 207-4-a:,,,,
1805,,i.  Names of the resident entities;,,,,
1806,,ii.  Primary activities of the organization;,,,,
1807,,"iii.   Number of employees, and the basis of calculation of this number;",,,,
1808,,iv.  Revenues from third-party sales;,,,,
1809,,v.  Revenues from intra-group transactions with other tax jurisdictions;,,,,
1810,,vi.  Profit/loss before tax;,,,,
1811,,vii.  Tangible assets other than cash and cash equivalents;,,,,
1812,,viii.Corporate income tax paid on a cash basis;,,,,
1813,,ix.  Corporate income tax accrued on profit/loss;,,,,
1814,,x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due,,,,
1815,,if the statutory tax rate is applied to profit/loss before tax.,,,,
1816,,c.  The time period covered by the information reported in Disclosure 207-4,,,,
1817,,,,,"r Disclosures were GRI’s previous sector-specific reporting guidance,",
1818,,,,,be used together with the GRI G4 Guidelines. The G4 Guidelines have been,
1819,,,,,y the GRI Standards. The G4 Sector Disclosures were not updated when,
1820,,,,,"to the GRI Standards. Instead, as part of its Sector Program GRI is developing",
1821,,,,,"ards that will provide more up-to-date, authoritative guidance for sector-",
1822,,,,,inability reporting. The G4 Sector Disclosures are available from standards@,
1823,,,,,g.org. For more information visit: https://www.globalreporting.org/standards/,
1824,,,,,m/,
1825,,,,,ill be updated annually to reflect changes and updates in to the GRI Standards.,
1826,,,,,4 Sector Disclosures,
1827,,,,,perators; CRE: Construction and Real Estate; EU: Electric Utilities; EO: Event,
1828,,,,,S: Financial Services; FP: Food Processing; M: Media; MM: Mining and,
1829,,,,,G: Oil and Gas.,
1830,1.4,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/sme/large) and by",FS6,,,G4 Sector Disclosures 2008
1831,,sector,,,,
1832,1.4,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosures 2008
1833,,line broken down by purpose,,,,
1834,1.4,Access points in low-populated or economically disadvantaged areas by type,FS13,,,G4 Sector Disclosures 2008
1835,1.4,Initiatives to improve access to financial services for disadvantaged people,FS14,,,G4 Sector Disclosures 2008
1836,1.4,Initiatives to enhance financial literacy by type of beneficiary,Former FS16,,,G4 Sector Disclosures 2008
1837,1.4,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number",MM5,,,G4 Sector Disclosures 2010
1838,,and percentage of operations or sites where there are formal agreements with indigenous peoples’,,,,
1839,,communities,,,,
1840,1.4,"Number and description of significant disputes relating to land use, customary rights of local",MM6,,,G4 Sector Disclosures 2010
1841,,communities and indigenous peoples,,,,
1842,1.4,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,",MM7,,,G4 Sector Disclosures 2010
1843,,"customary rights of local communities and indigenous peoples, and the outcomes",,,,
1844,1.4,Number (and percentage) of company operating sites where artisanal and small-scale mining (asm),MM8,,,G4 Sector Disclosures 2010
1845,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
1846,,mitigate these risks,,,,
1847,1.4,Operations where indigenous communities are present or affected by activities and where specific,OG9,,,G4 Sector Disclosures 2012
1848,,engagement strategies are in place,,,,
1849,1.4,Number and description of significant disputes with local communities and indigenous peoples,OG10,,,G4 Sector Disclosures 2012
1850,1.4,Number of sites that have been decommissioned and sites that are in the process of being,OG11,,,G4 Sector Disclosures 2012
1851,,decommissioned,,,,
1852,1.4,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosures 2012
1853,1.4,Percentage of population unserved in licensed distribution or service areas,EU26,,,G4 Sector Disclosures 2009
1854,1.4,"Number of residential disconnections for non-payment, broken down by duration of disconnection and by",EU27,,,G4 Sector Disclosures 2009
1855,,regulatory regime,,,,
1856,1.4,Power outage frequency,EU28,,,G4 Sector Disclosures 2009
1857,1.4,Average power outage duration,EU29,,,G4 Sector Disclosures 2009
1858,1.4,Average plant availability factor by energy source and by regulatory regime,EU30,,,G4 Sector Disclosures 2009
1859,1.4,"Programs, including those in partnership with government, to improve or maintain access to electricity",Former EU23,,,G4 Sector Disclosures 2010
1860,,and customer support services,,,,
1861,1.4,"Practices to address language, cultural, low literacy and disability related barriers to access and safely",Former EU24,,,G4 Sector Disclosures 2010
1862,,use electricity and customer support services,,,,
1863,1.4,"Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport",AO8,,,G4 Sector Disclosures 2011
1864,,"operator or on its behalf by a governmental or other entity, and compensation provided",,,,
1865,1.4,"Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down",CRE7,,,G4 Sector Disclosure 2011
1866,,by projec,,,,
1867,1.4,"Number of people physically or economically displaced and compensation, broken down by type of",EU22,,,G4 Sector Disclosure 2009
1868,,project,,,,
1869,1.4,Stakeholder participation in decision making processes related to energy planning and infrastructure,former EU19,,,G4 Sector Disclosure 2010
1870,,development,,,,
1871,1.4,Approach to managing the impacts of displacement,Former EU20,,,G4 Sector Disclosure 2010
1872,1.4,"Sites where resettlements took place, the number of households resettled in each, and how their",MM9,,,G4 Sector Disclosure 2010
1873,,livelihoods were affected in the process,,,,
1874,1.4,"Operations where involuntary resettlement took place, the number of households resettled in each and",OG12,,,G4 Sector Disclosure 2012
1875,,how their livelihoods were affected in the process,,,,
1876,1.5,"Contingency planning measures, disaster/emergency management plan and training programs, and",Former EU21,,,G4 Sector Disclosure 2010
1877,,recovery/restoration plans,,,,
1878,2.1,Percentage of production volume manufactured in sites certified by an independent third party according,FP5,,,G4 Sector Disclosure 2008
1879,,to internationally recognized food safety management system standards,,,,
1880,2.1,"Policies and practices on antibiotic, anti-inflammatory, hormone, and/or growth promotion treatments, by",FP12,,,G4 Sector Disclosure 2010
1881,,species and breed type,,,,
1882,2.1,Policies and practices on communication to consumers about ingredients and nutritional information,Former FP8,,,G4 Sector Disclosure 2010
1883,,beyond legal requirements,,,,
1884,2.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer",Former FP4,,,G4 Sector Disclosure 2010
1885,,"initiatives, knowledge transfer, partnerships and product development) that promote access to healthy",,,,
1886,,"lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and",,,,
1887,,improved welfare for communities in need,,,,
1888,2.2,"Percentage of total sales volume of consumer products, by product category, that are lowered in",FP6,,,G4 Sector Disclosure 2010
1889,,"saturated fat, trans fats, sodium and added sugars",,,,
1890,2.2,"Percentage of total sales volume of consumer products, by product category, that contain increased",FP7,,,G4 Sector Disclosure 2010
1891,,"nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives",,,,
1892,2.3,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number",MM5,,,G4 Sector Disclosure 2010
1893,,and percentage of operations or sites where there are formal agreements with indigenous peoples’,,,,
1894,,communities,,,,
1895,2.3,"Number and description of significant disputes relating to land use, customary rights of local",MM6,,,G4 Sector Disclosure 2010
1896,,communities and indigenous peoples,,,,
1897,2.3,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,",MM7,,,G4 Sector Disclosure 2010
1898,,"customary rights of local communities and indigenous peoples, and the outcomes",,,,
1899,2.3,Number (and percentage) of company operating sites where artisanal and small-scale mining (asm),MM8,,,G4 Sector Disclosure 2010
1900,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
1901,,mitigate these risks,,,,
1902,2.3,Operations where indigenous communities are present or affected by activities and where specific,OG9,,,G4 Sector Disclosure 2012
1903,,engagement strategies are in place,,,,
1904,2.3,Number and description of significant disputes with local communities and indigenous peoples,OG10,,,G4 Sector Disclosure 2012
1905,2.3,Number of sites that have been decommissioned and sites that are in the process of being,OG11,,,G4 Sector Disclosure 2010
1906,,decommissioned,,,,
1907,2.3,"Number of people physically or economically displaced and compensation, broken down by type of",EU22,,,G4 Sector Disclosure 2009
1908,,project,,,,
1909,2.3,"Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport",AO8,,,G4 Sector Disclosure 2011
1910,,"operator or on its behalf by a governmental or other entity, and compensation provided",,,,
1911,2.3,"Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down",CRE7,,,G4 Sector Disclosure 2011
1912,,by projec,,,,
1913,2.3,"Operations where involuntary resettlement took place, the number of households resettled in each and",OG12,,,G4 Sector Disclosure 2010
1914,,how their livelihoods were affected in the process,,,,
1915,2.3,Stakeholder participation in decision making processes related to energy planning and infrastructure,former EU19,,,G4 Sector Disclosure 2009
1916,,development,,,,
1917,2.3,Approach to managing the impacts of displacement,Former EU20,,,G4 Sector Disclosure 2009
1918,2.3,"Sites where resettlements took place, the number of households resettled in each, and how their",MM9,,,G4 Sector Disclosure 2010
1919,,livelihoods were affected in the process,,,,
1920,2.3,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2012
1921,2.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally",FP2,,,G4 Sector Disclosure 2010
1922,,"recognized responsible production standards, broken down by standard",,,,
1923,2.4,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2012
1924,2.5,"Percentage and total of animals raised and/or processed, by species and breed type",FP9,,,G4 Sector Disclosure 2010
1925,3.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer",former FP4,,,G4 Sector Disclosure 2010
1926,,"initiatives, knowledge transfer, partnerships and product development) that promote access to healthy",,,,
1927,,"lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and",,,,
1928,,improved welfare for communities in need,,,,
1929,3.5,Actions taken to improve performance in relation to content dissemination issues (accessibility and,M4,,,G4 Sector Disclosure 2012
1930,,protection of vulnerable audiences and informed decision making) and results obtained,,,,
1931,3.5,"Number and nature of responses (feedback/complaints) related to content dissemination, including",M5,,,G4 Sector Disclosure 2012
1932,,"protection of vulnerable audiences and informed decision making and accessibility, and processes for",,,,
1933,,addressing these responses,,,,
1934,3.9,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,AO6,,,G4 Sector Disclosure 2011
1935,3.9,Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or,AO5,,,G4 Sector Disclosure 2011
1936,,parts per million (ppm) by regulatory regime,,,,
1937,3.9,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7,,,G4 Sector Disclosure 2012
1938,3.9,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
1939,,rehabilitated,,,,
1940,3.9,"Benzene, lead and sulfur content in fuels",OG8,,,G4 Sector Disclosure 2012
1941,3.9,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
1942,,applicable legal designations,,,,
1943,3.9,Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM),MM8,,,G4 Sector Disclosure 2010
1944,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
1945,,mitigate these risks,,,,
1946,3.9,"Number of process safety events, by business activity",OG13,,,G4 Sector Disclosure 2012
1947,3.9,Quality of storm water by applicable regulatory standards,AO4,,,G4 Sector Disclosure 2011
1948,3.9,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3,,,G4 Sector Disclosure 2010
1949,3.9,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
1950,3.9,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
1951,4.4,Programs and processes to ensure the availability of a skilled workforce,Former EU14,,,G4 Sector Disclosure 2009
1952,4.6,Actions taken to empower audiences through media literacy skills development and results obtained,M7,,,G4 Sector Disclosure 2012
1953,4.7,"Number, type and impact of sustainability initiatives designed to raise awareness, share knowledge and",EO11,,,G4 Sector Disclosure 2012
1954,,"impact behavior change, and results achieved",,,,
1955,4a,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
1956,,"management, occupation and redevelopment",,,,
1957,6.3,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7,,,G4 Sector Disclosure 2012
1958,6.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
1959,,rehabilitated,,,,
1960,6.3,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
1961,,applicable legal designations,,,,
1962,6.3,Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM),MM8,,,G4 Sector Disclosure 2010
1963,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
1964,,mitigate these risks,,,,
1965,6.3,"Number of process safety events, by business activity",OG13,,,G4 Sector Disclosure 2012
1966,6.3,Quality of storm water by applicable regulatory standards,AO4,,,G4 Sector Disclosure 2011
1967,6.3,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3,,,G4 Sector Disclosure 2010
1968,6.3,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
1969,6.4,Building water intensity,CRE2,,,G4 Sector Disclosure 2011
1970,6.4,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
1971,,"management, occupation and redevelopment",,,,
1972,6.4,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
1973,6.6,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
1974,,rehabilitated,,,,
1975,6.6,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13,,,G4 Sector Disclosure 2009
1976,6.6,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
1977,,applicable legal designations,,,,
1978,6.6,Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM),MM8,,,G4 Sector Disclosure 2010
1979,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
1980,,mitigate these risks,,,,
1981,6.6,Number and percentage of significant operating sites in which biodiversity risk has been assessed and,OG4,,,G4 Sector Disclosure 2012
1982,,monitored,,,,
1983,6.6,The number and percentage of total sites identified as requiring biodiversity management plans,MM2,,,G4 Sector Disclosure 2010
1984,,"according to stated criteria, and the number (percentage) of those sites with plans in place",,,,
1985,6.6,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3,,,G4 Sector Disclosure 2010
1986,7.1,Average plant availability factor by energy source and by regulatory regime,EU30,,,G4 Sector Disclosure 2009
1987,7.1,Average power outage duration,EU29,,,G4 Sector Disclosure 2009
1988,7.1,Management approach to ensure short and long-term electricity availability and reliability,Former EU6,,,G4 Sector Disclosure 2009
1989,7.1,"Number of residential disconnections for non-payment, broken down by duration of disconnection",EU27,,,G4 Sector Disclosure 2009
1990,,and by regulatory regime,,,,
1991,7.1,Percentage of population unserved in licensed distribution or service areas,EU26,,,G4 Sector Disclosure 2009
1992,7.1,"Planned capacity against projected electricity demand over the long term, broken down by energy",EU10,,,G4 Sector Disclosure 2009
1993,,source and regulatory regime,,,,
1994,7.1,Power outage frequency,EU28,,,G4 Sector Disclosure 2009
1995,7.1,"Practices to address language, cultural, low literacy and disability related barriers to access and safely",Former EU24,,,G4 Sector Disclosure 2009
1996,,use electricity and customer support services,,,,
1997,7.1,"Programs, including those in partnership with government, to improve or maintain access to electricity",Former EU23,,,G4 Sector Disclosure 2009
1998,,and customer support services,,,,
1999,7.2,"Installed capacity, broken down by primary energy source and by regulatory regime",EU1,,,G4 Sector Disclosure 2009
2000,7.2,Net energy output broken down by primary energy source and by regulatory regime,EU2,,,G4 Sector Disclosure 2009
2001,7.2,Research and development activity and expenditure aimed at providing reliable electricity and promoting,Former EU8,,,G4 Sector Disclosure 2009
2002,,sustainable development,,,,
2003,7.2,Total amount invested in renewable energy,OG2,,,G4 Sector Disclosure 2012
2004,7.2,Total amount of renewable energy generated by source,OG3,,,G4 Sector Disclosure 2012
2005,7.2,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2012
2006,7.3,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11,,,G4 Sector Disclosure 2009
2007,7.3,Building energy intensity,CRE1,,,G4 Sector Disclosure 2011
2008,7.3,"Demand-side management programs including residential, commercial, institutional and industrial",Former EU7,,,G4 Sector Disclosure 2009
2009,,programs,,,,
2010,7.3,Programs and progress relating to materials stewardship,Former MM1,,,G4 Sector Disclosure 2010
2011,7.3,Transmission and distribution losses as a percentage of total energy,EU12,,,G4 Sector Disclosure 2009
2012,7.3,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2013,,"management, occupation and redevelopment",,,,
2014,7.3,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2015,7a,Programs and progress relating to materials stewardship,Former,,,G4 Sector Disclosure 2010
2016,,,MM11,,,
2017,7a,Research and development activity and expenditure aimed at providing reliable electricity and promoting,Former EU8,,,G4 Sector Disclosure 2009
2018,,sustainable development,,,,
2019,7a,Total amount invested in renewable energy,OG2,,,G4 Sector Disclosure 2012
2020,7b,Research and development activity and expenditure aimed at providing reliable electricity and promoting,Former EU8,,,G4 Sector Disclosure 2009
2021,,sustainable development,,,,
2022,8.1,Total amount of cargo tonnage,AO3,,,G4 Sector Disclosure 2011
2023,8.1,"Total annual number of aircraft movements by day and night, broken down by commercial passenger,",AO2,,,G4 Sector Disclosure 2011
2024,,"commercial cargo, general aviation, and state aviation flights",,,,
2025,8.1,"Total number of passengers annually, broken down by passengers on international and domestic flights,",AO1,,,G4 Sector Disclosure 2011
2026,,"and broken down by origin-and-destination and transfer passengers, including transit passengers",,,,
2027,8.2,"Number, type and impact of physical and technological legacies",EO13,,,G4 Sector Disclosure 2012
2028,8.3,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosure 2008
2029,,line broken down by purpose,,,,
2030,8.3,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by",FS6,,,G4 Sector Disclosure 2008
2031,,sector,,,,
2032,8.4,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11,,,G4 Sector Disclosure 2009
2033,8.4,Building energy intensity,CRE1,,,G4 Sector Disclosure 2011
2034,8.4,Building water intensity,CRE2,,,G4 Sector Disclosure 2011
2035,8.4,"Demand-side management programs including residential, commercial, institutional and industrial",Former EU7,,,G4 Sector Disclosure 2009
2036,,programs,,,,
2037,8.4,Programs and progress relating to materials stewardship,Former EU11,,,G4 Sector Disclosure 2009
2038,8.4,Transmission and distribution losses as a percentage of total energy,EU12,,,G4 Sector Disclosure 2009
2039,8.4,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2040,,"management, occupation and redevelopment",,,,
2041,8.4,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
2042,8.4,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2043,8.5,Percentage of employees eligible to retire in the next 5 and 10 years broken down by job category and,EU15,,,G4 Sector Disclosure 2009
2044,,by region,,,,
2045,8.5,Programs and processes to ensure the availability of a skilled workforce,Former EU14,,,G4 Sector Disclosure 2009
2046,8.8,"Days worked by contractor and subcontractor employees involved in construction, operation &",EU17,,,G4 Sector Disclosure 2009
2047,,maintenance activities,,,,
2048,8.8,Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM),MM8,,,G4 Sector Disclosure 2010
2049,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
2050,,mitigate these risks,,,,
2051,8.8,"Number of process safety events, by business activity",OG13,,,G4 Sector Disclosure 2012
2052,8.8,"Number of strikes and lock-outs exceeding one week's duration, by country",MM4,,,G4 Sector Disclosure 2010
2053,8.8,Percentage of contractor and subcontractor employees that have undergone relevant health and safety,EU18,,,G4 Sector Disclosure 2009
2054,,training,,,,
2055,8.8,Percentage of the organization operating in verified compliance with an internationally recognized health,CRE6,,,G4 Sector Disclosure 2011
2056,,and safety management system,,,,
2057,8.8,"Percentage of working time lost due to industrial disputes, strikes and/or lock-outs, by country",FP3,,,G4 Sector Disclosure 2010
2058,8.8,Policies and requirements regarding health and safety of employees and employees of contractors and,Former EU16,,,G4 Sector Disclosure 2009
2059,,subcontractors,,,,
2060,8.1,Access points in low-populated or economically disadvantaged areas by type,FS13,,,G4 Sector Disclosure 2008
2061,8.1,Initiatives to enhance financial literacy by type of beneficiary,Former FS16,,,G4 Sector Disclosure 2008
2062,8.1,Initiatives to improve access to financial services for disadvantaged people,FS14,,,G4 Sector Disclosure 2008
2063,8.1,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosure 2008
2064,,line broken down by purpose,,,,
2065,8.1,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by",FS6,,,G4 Sector Disclosure 2008
2066,,sector,,,,
2067,9.1,"Number, type and impact of physical and technological legacies",EO13,,,G4 Sector Disclosure 2012
2068,9.1,Stakeholder participation in decision making processes related to energy planning and infrastructure,Former EU19,,,G4 Sector Disclosure 2009
2069,,development,,,,
2070,9.3,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosure 2008
2071,,line broken down by purpose,,,,
2072,9.3,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by",FS6,,,G4 Sector Disclosure 2008
2073,,sector,,,,
2074,9.4,Research and development activity and expenditure aimed at providing reliable electricity and promoting,Former EU8,,,G4 Sector Disclosure 2009
2075,,sustainable development,,,,
2076,9.4,Total amount invested in renewable energy,OG2,,,G4 Sector Disclosure 2012
2077,9.5,"Number, type and impact of physical and technological legacies",EU13,,,G4 Sector Disclosure 2009
2078,9.5,Programs and progress relating to materials stewardship,MM11,,,G4 Sector Disclosure 2010
2079,9.5,Research and development activity and expenditure aimed at providing reliable electricity and promoting,Former EU8,,,G4 Sector Disclosure 2009
2080,,sustainable development,,,,
2081,9.5,Total amount invested in renewable energy,OG2,,,G4 Sector Disclosure 2012
2082,9a,"Number, type and impact of physical and technological legacies",EO13,,,G4 Sector Disclosure 2012
2083,9a,Stakeholder participation in decision making processes related to energy planning and infrastructure,Former EU19,,,G4 Sector Disclosure 2009
2084,,development,,,,
2085,10.2,Access points in low-populated or economically disadvantaged areas by type,FS13,,,G4 Sector Disclosure 2008
2086,10.2,Actions taken to improve performance in relation to content dissemination issues (accessibility and,M4,,,G4 Sector Disclosure 2012
2087,,protection of vulnerable audiences and informed decision making) and results obtained,,,,
2088,10.2,Initiatives to enhance financial literacy by type of beneficiary,Former FS16,,,G4 Sector Disclosure 2008
2089,10.2,Initiatives to improve access to financial services for disadvantaged people,FS14,,,G4 Sector Disclosure 2008
2090,10.2,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosure 2008
2091,,line broken down by purpose,,,,
2092,10.2,"Number and nature of responses (feedback/complaints) related to content dissemination, including",M5,,,G4 Sector Disclosure 2012
2093,,"protection of vulnerable audiences and informed decision making and accessibility, and processes for",,,,
2094,,addressing these responses,,,,
2095,10.2,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,",EO3,,,G4 Sector Disclosure 2012
2096,,and initiatives taken to address the impacts,,,,
2097,10.2,Type and impacts of initiatives to create a socially inclusive event,EO5,,,G4 Sector Disclosure 2012
2098,10.2,Type and impacts of initiatives to create an accessible environment,EO6,,,G4 Sector Disclosure 2010
2099,10.2,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2100,,"management, occupation and redevelopment",,,,
2101,10.5,Coverage and frequency of audits to assess implementation of environmental and social policies and,Former FS9,,,G4 Sector Disclosure 2008
2102,,risk assessment procedures,,,,
2103,10.5,Interaction with clients/investees/business partners regarding environmental and social risks and,Former FS5,,,G4 Sector Disclosure 2008
2104,,opportunities,,,,
2105,10.5,Percentage and number of companies held in the institution's portfolio with which the reporting,FS10,,,G4 Sector Disclosure 2008
2106,,organisation has interacted on environmental or social issues,,,,
2107,10.5,Percentage of assets subject to positive and negative environmental or social screening,FS11,,,G4 Sector Disclosure 2008
2108,10.5,Policies for the fair design and sale of financial products and services,Former FS15,,,G4 Sector Disclosure 2008
2109,10.5,Policies with specific environmental and social components applied to business lines,Former FS1,,,G4 Sector Disclosure 2008
2110,10.5,Procedures for assessing and screening environmental and social risks in business lines,Former FS2,,,G4 Sector Disclosure 2008
2111,10.5,Process(es) for improving staff competency to implement the environmental and social policies and,Former FS4,,,G4 Sector Disclosure 2008
2112,,procedures as applied to business lines,,,,
2113,10.5,Processes for monitoring clients' implementation of and compliance with environmental and social,Former FS3,,,G4 Sector Disclosure 2008
2114,,requirements included in agreements or transactions,,,,
2115,11.1,Monetary value of products and services designed to deliver a specific social benefit for each business,FS7,,,G4 Sector Disclosure 2008
2116,,line broken down by purpose,,,,
2117,11.2,"Modes of transport taken by attendees as a percentage of total transportation, and initiatives to",EO2,,,G4 Sector Disclosure 2012
2118,,encourage the use of sustainable transport options,,,,
2119,11.2,"Number, type and impact of physical and technological legacies",EO13,,,G4 Sector Disclosure 2012
2120,11.2,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,",EO3,,,G4 Sector Disclosure 2012
2121,,and initiatives taken to address the impacts,,,,
2122,11.3,Number and percentage change of people residing in areas affected by noise,AO7,,,G4 Sector Disclosure 2011
2123,11.3,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2124,,"management, occupation and redevelopment",,,,
2125,11.4,"Actions taken to improve adherence to content creation values, and results obtained",M3,,,G4 Sector Disclosure 2012
2126,11.4,Approach to managing the impacts of displacement,Former EU20,,,G4 Sector Disclosure 2009
2127,11.4,"Operations where involuntary resettlement took place, the number of households resettled in each and",OG12,,,G4 Sector Disclosure 2012
2128,,how their livelihoods were affected in the process,,,,
2129,11.5,"Contingency planning measures, disaster/emergency management plan and training programs, and",Former EU21,,,G4 Sector Disclosure 2009
2130,,recovery/restoration plans,,,,
2131,11.5,"Number of process safety events, by business activity",OG13,,,G4 Sector Disclosure 2012
2132,11.7,"Number, type and impact of physical and technological legacies",EO13,,,G4 Sector Disclosure 2012
2133,12.2,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11,,,G4 Sector Disclosure 2009
2134,12.2,Building energy intensity,CRE1,,,G4 Sector Disclosure 2011
2135,12.2,Building water intensity,CRE2,,,G4 Sector Disclosure 2011
2136,12.2,"Demand-side management programs including residential, commercial, institutional and industrial",Former EU7,,,G4 Sector Disclosure 2009
2137,,programs,,,,
2138,12.2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally",FP2,,,G4 Sector Disclosure 2010
2139,,"recognized responsible production standards, broken down by standard",,,,
2140,12.2,Programs and progress relating to materials stewardship,Former,,,G4 Sector Disclosure 2010
2141,,,MM11,,,
2142,12.2,Transmission and distribution losses as a percentage of total energy,EU12,,,G4 Sector Disclosure 2009
2143,12.2,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2144,,"management, occupation and redevelopment",,,,
2145,12.2,Type and sustainability performance of sourcing initiatives,EO9,,,G4 Sector Disclosure 2012
2146,12.2,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
2147,12.2,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
