,Target,Available Business Disclosures,Source
439,3.9,"a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent, 
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or al","GRI 305: Emissions 2016, 305-2"
440,3.9,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation","GRI 305: Emissions 2016, 305-3"
441,3.9,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent","GRI 305: Emissions 2016, 305-6-a"
442,3.9,"a.   Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.  Source of the emission factors used., 
c.  Standards, methodologies, assumptions, and/or calculation tools used.","GRI 305: Emissions 2016, 305-7"
443,3.9,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
iv.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-a"
444,3.9,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where, 
applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
iv.  Other (to be specified by the organization)","GRI 306: Waste 2016, 306-2-b"
445,3.9,Total number and total volume of recorded significant spills,"GRI 306: Waste 2016, 306-3-a"
446,3.9,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization)","GRI 306: Waste 2016, 306-3-b"
447,3.9,Impacts of significant spills,"GRI 306: Waste 2016, 306-3-c"
448,3.9,"Total weight for each of the following:, 
i.  Hazardous waste transported, 
ii.  Hazardous waste imported, 
iii.  Hazardous waste exported, 
iv. Hazardous waste treated","GRI 306: Waste 2016, 306-4-a"
449,3.9,Percentage of hazardous waste shipped internationally,"GRI 306: Waste 2016, 306-4-b"
450,3.9,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.""","GRI 306: Waste 2020, 306-1"
451,3.9,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.","GRI 306: Waste 2020, 306-2-a"
452,3.9,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.","GRI 306: Waste 2020, 306-2-b"
453,3.9,The processes used to collect and monitor waste-related data.,"GRI 306: Waste 2020, 306-2-c"
454,3.9,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-3-a"
455,3.9,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.","GRI 306: Waste 2020, 306-4-a"
456,3.9,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by, 
the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-b"
457,3.9,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total, 
by the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.","GRI 306: Waste 2020, 306-4-c"
458,3.9,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted, 
from disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-4-d"
459,3.9,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of, 
the waste.","GRI 306: Waste 2020, 306-5-a"
460,3.9,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the, 
following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-b"
461,3.9,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by, 
the following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.","GRI 306: Waste 2020, 306-5-c"
462,3.9,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in, 
metric tons of hazardous waste and of non-hazardous waste directed to disposal:, 
i.  onsite;, 
ii.  offsite.","GRI 306: Waste 2020, 306-5-d"
463,3.9,a.   For all employees:,"GRI 403: Occupational, 403-10"
464,3.9,Report the information for all workers who are not employees but whose work and/or workplace is,"GRI 403: Occupational, 403-9-b"
465,3.9,"The work-related hazards that pose a risk of high-consequence injury, including:","GRI 403: Occupational, 403-9-c"
466,3.9,"i.  The number of fatalities as a result of work-related ill health;, 
ii.   The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
b.  For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.   The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-10"
467,3.9,"controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9-b"
468,3.9,"i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.","Health and Safety 2018, 403-9-c"
469,4.3,"period, by:, 
i.  Gender;, 
ii.  Employee category","Education 2016, 404-1-a"
470,4.3,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
471,4.4,"period, by:, 
i.  Gender;, 
ii.  Employee category.","Education 2016, 404-1-a"
472,4.4,Programs and processes to ensure the availability of a skilled workforce,"G4 Sector Disclosure 2009, Former EU14"
473,4.4,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
474,4.5,"period, by:, 
i.  Gender;, 
ii.  Employee category.","Education 2016, 404-1-a"
475,4.5,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
476,4.6,Actions taken to empower audiences through media literacy skills development and results obtained,"G4 Sector Disclosure 2012, M7"
477,4.7,"Number, type and impact of sustainability initiatives designed to raise awareness, share knowledge and, 
impact behavior change, and results achieved","G4 Sector Disclosure 2012, EO11"
478,4a,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
479,5.1,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of, 
operation to the minimum wage., 
b.   When a significant proportion of other workers (excluding employees) performing the organization’s, 
activities are compensated based on wages subject to minimum wage rules, describe the actions, 
taken to determine whether these workers are paid above the minimum wage., 
c.   Whether a local minimum wage is absent or variable at significant locations of operation, by gender., 
In circumstances in which different minimums can be used as a reference, report which minimum, 
wage is being used., 
d.   The definition used for ‘significant locations of operation’.","2016, 202-1"
480,5.1,"region., 
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and, 
region.","2016, 401-1"
481,5.1,"b.   Total number of employees that took parental leave, by gender., 
c.  Total number of employees that returned to work in the reporting period after parental leave ended,, 
by gender., 
d.  Total number of employees that returned to work after parental leave ended that were still employed, 
12 months after their return to work, by gender., 
e.  Return to work and retention rates of employees that took parental leave, by gender.","2016, 401-3"
482,5.1,"period, by:, 
i.  Gender;, 
ii.  Employee category.","Education 2016, 404-1-a"
483,5.1,performance and career development review during the reporting period,"Education 2016, 404-3-a"
484,5.1,"diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups)., 
b.  Percentage of employees per employee category in each of the following diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).","Equal Opportunity 2016, 405-1"
485,5.1,locations of operation.,"Equal Opportunity 2016, 405-2-a"
486,5.1,a.  When a significant proportion of employees are compensated based on wages subject to minimum,"GRI 202: Market Presence, 202-1"
487,5.1,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and","GRI 401: Employment, 401-1"
488,5.1,"a.   Total number of employees that were entitled to parental leave, by gender.","GRI 401: Employment, 401-3"
489,5.1,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
490,5.1,Percentage of total employees by gender and by employee category who received a regular,"GRI 404: Training and, 404-3-a"
491,5.1,a.  Percentage of individuals within the organization’s governance bodies in each of the following,"GRI 405: Diversity and, 405-1"
492,5.1,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant","GRI 405: Diversity and, 405-2-a"
493,5.1,a.   Total number of incidents of discrimination during the reporting period.,"GRI 406: Non-, 406-1"
494,5.1,"b.  Status of the incidents and actions taken with reference to the following:, 
i.   Incident reviewed by the organization;, 
ii.   Remediation plans being implemented;, 
iii.   Remediation plans that have been implemented, with results reviewed through routine internal, 
management review processes;, 
iv.  Incident no longer subject to action.","discrimination 2016, 406-1"
495,5.2,Percentage of new suppliers that were screened using social criteria,"Assessment 2016, 414-1-a"
496,5.2,"b.  Number of suppliers identified as having significant actual and potential negative social impacts., 
c.   Significant actual and potential negative social impacts identified in the supply chain., 
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which improvements were agreed upon as a result of assessment., 
e.  Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which relationships were terminated as a result of assessment, and why.","Assessment 2016, 414-2"
497,5.2,"labor either in terms of:, 
i. type of operation (such as manufacturing plant) and supplier;, 
ii. countries or geographic areas with operations and suppliers considered at risk","Compulsory Labor 2016, 409-1-a"
498,5.2,"Operations and suppliers considered to have significant risk for incidents of:, 
i. child labor;, 
ii. young workers exposed to hazardous work.","GRI 408: Child Labor 2016, 408-1-a"
499,5.2,Operations and suppliers considered to have significant risk for incidents of forced or compulsory,"GRI 409: Forced Or, 409-1-a"
500,5.2,Percentage of new suppliers that were screened using social criteria,"GRI 414: Supplier Social, 414-1-a"
501,5.2,a.   Number of suppliers assessed for social impacts.,"GRI 414: Supplier Social, 414-2"
502,5.4,"to temporary or part-time employees, by significant locations of operation. These include, as a, 
minimum:, 
i.  life insurance;, 
ii.  health care;, 
iii.  disability and invalidity coverage;, 
iv.  parental leave;, 
v.  retirement provision;, 
vi.  stock ownership;, 
vii.  others., 
b.  The definition used for ‘significant locations of operation’.","2016, 401-2"
503,5.4,"b.  Total number of employees that took parental leave, by gender., 
c.  Total number of employees that returned to work in the reporting period after parental leave ended,, 
by gender., 
d.  Total number of employees that returned to work after parental leave ended that were still employed, 
12 months after their return to work, by gender., 
e.   Return to work and retention rates of employees that took parental leave, by gender.","2016, 401-3"
504,5.4,"b.   Current or expected impacts on communities and local economies, including positive and negative, 
impacts where relevant., 
c.  Whether these investments and services are commercial, in-kind, or pro bono engagements.","Economic Impacts 2016, 203-1"
505,5.4,a.  Extent of development of significant infrastructure investments and services supported.,"GRI 203: Indirect, 203-1"
506,5.4,a.  Benefits which are standard for full-time employees of the organization but are not provided,"GRI 401: Employment, 401-2"
507,5.4,"a.  Total number of employees that were entitled to parental leave, by gender.","GRI 401: Employment, 401-3"
508,5.5,"i.  Executive or non-executive;, 
ii.  Independence;, 
iii.  Tenure on the governance body;, 
iv.  Number of each individual’s other significant positions and commitments, and the nature of the, 
commitments;, 
v.  Gender;, 
vi.  Membership of under-represented social groups;, 
vii.  Competencies relating to economic, environmental, and social topics;, 
viii.  Stakeholder representation.","Disclosures 2016, 102-22-a"
509,5.5,"b.  Criteria used for nominating and selecting highest governance body members, including whether, 
and how:, 
i.  stakeholders (including shareholders) are involved;, 
ii.   diversity is considered;, 
iii.  independence is considered;, 
iv.   expertise and experience relating to economic, environmental, and social topics are considered.","Disclosures 2016, 102-24"
510,5.5,"diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups)., 
b.   Percentage of employees per employee category in each of the following diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).","Equal Opportunity 2016, 405-1"
511,5.5,Composition of the highest governance body and its committees by:,"GRI 102: General, 102-22-a"
512,5.5,a.   Nomination and selection processes for the highest governance body and its committees.,"GRI 102: General, 102-24"
513,5.5,a.  Percentage of individuals within the organization’s governance bodies in each of the following,"GRI 405: Diversity and, 405-1"
514,6.3,determined,"(recommendation 2.4.2), 303-4"
515,6.3,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).","Effluents 2018, 303-1-a"
516,6.3,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.","Effluents 2018, 303-1-c"
517,6.3,"standards were determined, including:, 
i.  how standards for facilities operating in locations with no local discharge requirements were, 
determined;, 
ii.  any internally developed water quality standards or guidelines;, 
iii.  any sector-specific standards considered;, 
iv.  whether the profile of the receiving waterbody was considered.”","Effluents 2018, 303-2-a"
518,6.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
519,6.3,"Total amounts of overburden, rock, tailings, and sludges and their associated risks","G4 Sector Disclosure 2010, MM3"
520,6.3,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
521,6.3,Quality of storm water by applicable regulatory standards,"G4 Sector Disclosure 2011, AO4"
522,6.3,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
523,6.3,"Number of process safety events, by business activity","G4 Sector Disclosure 2012, OG13"
524,6.3,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
525,6.3,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,"G4 Sector Disclosure 2012, OG7"
526,6.3,"A description of how the organization interacts with water, including how and where water is withdrawn,","GRI 303: Water and, 303-1-a"
527,6.3,"A description of how water-related impacts are addressed, including how the organization works with","GRI 303: Water and, 303-1-c"
528,6.3,"A description of any minimum standards set for the quality of effluent discharge, and how these minimum","GRI 303: Water and, 303-2-a"
529,6.3,Report a breakdown of total water discharge to all area in megaliters by level of treatment levels were,"GRI 303: Water, 303-4"
530,6.3,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.","GRI 306: Waste 2020, 306-1"
531,6.3,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.","GRI 306: Waste 2020, 306-2-a"
532,6.3,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.","GRI 306: Waste 2020, 306-2-b"
533,6.3,The processes used to collect and monitor waste-related data.,"GRI 306: Waste 2020, 306-2-c"
534,6.3,determined,"and Effluents 2018, 303-4"
535,6.4,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).","Effluents 2018, 303-1-a"
536,6.4,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.","Effluents 2018, 303-1-c"
537,6.4,"303-3-b in megaliters by the following categories:, 
i.  Freshwater (≤1,000 mg/L Total Dissolved Solids);, 
ii.  Other water (>1,000 mg/L Total Dissolved Solids).","Effluents 2018, 303-3-c"
538,6.4,Report the total water consumption from all areas in megaliters.,"Effluents 2018, 303-5-a"
539,6.4,Report the total water consumption from all areas with water stress in megaliters.,"Effluents 2018, 303-5-b"
540,6.4,Building water intensity,"G4 Sector Disclosure 2011, CRE2"
541,6.4,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
542,6.4,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
543,6.4,"A description of how the organization interacts with water, including how and where water is withdrawn,","GRI 303: Water and, 303-1-a"
544,6.4,"A description of how water-related impacts are addressed, including how the organization works with","GRI 303: Water and, 303-1-c"
545,6.4,Report a breakdown of total water withdrawal from each of the sources listed in Disclosures 303-3-a and,"GRI 303: Water and, 303-3-c"
546,6.4,Report the total water consumption from all areas in megaliters.,"GRI 303: Water and, 303-5-a"
547,6.4,Report the total water consumption from all areas with water stress in megaliters.,"GRI 303: Water and, 303-5-b"
548,6.6,Biodiversity of offset habitats compared to the biodiversity of the affected areas,"G4 Sector Disclosure 2009, EU13"
549,6.6,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
550,6.6,"The number and percentage of total sites identified as requiring biodiversity management plans, 
according to stated criteria, and the number (percentage) of those sites with plans in place","G4 Sector Disclosure 2010, MM2"
551,6.6,"Total amounts of overburden, rock, tailings, and sludges and their associated risks","G4 Sector Disclosure 2010, MM3"
552,6.6,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
553,6.6,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
554,6.6,"Number and percentage of significant operating sites in which biodiversity risk has been assessed and, 
monitored","G4 Sector Disclosure 2012, OG4"
555,6.6,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high, 
biodiversity value outside protected areas, the following information:, 
i.  Geographic location;, 
ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;, 
iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the, 
protected area) or the high biodiversity value area outside protected areas;, 
iv.  Type of operation (office, manufacturing or production, or extractive);, 
v.  Size of operational site in km2 (or another unit, if appropriate);, 
vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity, 
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);, 
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area, 
Management Categories, Ramsar Convention, national legislation).","GRI 304: Biodiversity 2016, 304-1-a"
556,6.6,"a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the, 
following:, 
i.   Construction or use of manufacturing plants, mines, and transport infrastructure;, 
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and, 
non-point sources);, 
iii.   Introduction of invasive species, pests, and pathogens;, 
iv.   Reduction of species;, 
v.   Habitat conversion;, 
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or, 
changes in groundwater level)., 
b.  Significant direct and indirect positive and negative impacts with reference to the following:, 
i.   Species affected;, 
ii.   Extent of areas impacted;, 
iii.   Duration of impacts;, 
iv.  Reversibility or irreversibility of the impacts.","GRI 304: Biodiversity 2016, 304-2"
557,6.6,"Size and location of all habitat areas protected or restored, and whether the success of the restoration, 
measure was or is approved by independent external professionals.","GRI 304: Biodiversity 2016, 304-3-a"
558,6.6,"Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the, 
organization has overseen and implemented restoration or protection measures.","GRI 304: Biodiversity 2016, 304-3-b"
559,6.6,"Total number of IUCN Red List species and national conservation list species with habitats in areas, 
affected by the operations of the organization, by level of extinction risk:, 
i.  Critically endangered, 
ii.  Endangered, 
iii.  Vulnerable, 
iv.  Near threatened, 
v.  Least concern","GRI 304: Biodiversity 2016, 304-4-a"
560,6.6,"Total volume of planned and unplanned water discharges by:, 
i. Destination;, 
ii. Quality of the water, including treatment method;, 
iii. Whether the water was reused by another organization.","GRI 306: Waste 2016, 306-1-a"
561,6.6,Total number and total volume of recorded significant spills.,"GRI 306: Waste 2016, 306-3-a"
562,6.6,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization).","GRI 306: Waste 2016, 306-3-b"
563,6.6,Impacts of significant spills.,"GRI 306: Waste 2016, 306-3-c"
564,6.6,"Water bodies and related habitats that are significantly affected by water discharges and/or runoff,, 
including information on:, 
i.  The size of the water body and related habitat;, 
ii.   Whether the water body and related habitat is designated as a nationally or internationally, 
protected area;, 
iii.  The biodiversity value, such as total number of protected species.","GRI 306: Waste 2016, 306-5-a"
565,6.A,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).","Effluents 2018, 303-1-a"
566,6.A,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.","Effluents 2018, 303-1-c"
567,6.A,"A description of how the organization interacts with water, including how and where water is withdrawn,","GRI 303: Water and, 303-1-a"
568,6.A,"A description of how water-related impacts are addressed, including how the organization works with","GRI 303: Water and, 303-1-c"
569,6.B,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).","Effluents 2018, 303-1-a"
570,6.B,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.","Effluents 2018, 303-1-c"
571,6.B,"A description of how the organization interacts with water, including how and where water is withdrawn,","GRI 303: Water and, 303-1-a"
572,6.B,"A description of how water-related impacts are addressed, including how the organization works with","GRI 303: Water and, 303-1-c"
573,7.1,"Planned capacity against projected electricity demand over the long term, broken down by energy, 
source and regulatory regime","G4 Sector Disclosure 2009, EU10"
574,7.1,Percentage of population unserved in licensed distribution or service areas,"G4 Sector Disclosure 2009, EU26"
575,7.1,"Number of residential disconnections for non-payment, broken down by duration of disconnection, 
and by regulatory regime","G4 Sector Disclosure 2009, EU27"
576,7.1,Power outage frequency,"G4 Sector Disclosure 2009, EU28"
577,7.1,Average power outage duration,"G4 Sector Disclosure 2009, EU29"
578,7.1,Average plant availability factor by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU30"
579,7.1,"Programs, including those in partnership with government, to improve or maintain access to electricity, 
and customer support services","G4 Sector Disclosure 2009, Former EU23"
580,7.1,"Practices to address language, cultural, low literacy and disability related barriers to access and safely, 
use electricity and customer support services","G4 Sector Disclosure 2009, Former EU24"
581,7.1,Management approach to ensure short and long-term electricity availability and reliability,"G4 Sector Disclosure 2009, Former EU6"
582,7.2,"Installed capacity, broken down by primary energy source and by regulatory regime","G4 Sector Disclosure 2009, EU1"
583,7.2,Net energy output broken down by primary energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU2"
584,7.2,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
585,7.2,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2012, OG14"
586,7.2,Total amount invested in renewable energy,"G4 Sector Disclosure 2012, OG2"
587,7.2,Total amount of renewable energy generated by source,"G4 Sector Disclosure 2012, OG3"
588,7.2,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.  In joules, watt-hours or multiples, the total:, 
i.  electricity consumption, 
ii.   heating consumption, 
iii.  cooling consumption, 
iv.steam consumption, 
d.   In joules, watt-hours or multiples, the total:, 
i.   electricity sold, 
ii.  heating sold, 
iii.cooling sold iv. steam sold, 
e.   Total energy consumption within the organization, in joules or multiples., 
f.  Standards, methodologies, assumptions, and/or calculation tools used., 
g.  Source of the conversion factors used.","GRI 302: Energy 2016, 302-1"
589,7.2,"Energy consumption outside of the organization, in joules or multiples.","GRI 302: Energy 2016, 302-2"
590,7.3,Average generation efficiency of thermal plants by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU11"
591,7.3,Transmission and distribution losses as a percentage of total energy,"G4 Sector Disclosure 2009, EU12"
592,7.3,"Demand-side management programs including residential, commercial, institutional and industrial, 
programs","G4 Sector Disclosure 2009, Former EU7"
593,7.3,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, Former MM1"
594,7.3,Building energy intensity,"G4 Sector Disclosure 2011, CRE1"
595,7.3,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
596,7.3,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
597,7.3,"a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.   In joules, watt-hours or multiples, the total:, 
i.  electricity consumption, 
ii.   heating consumption, 
iii.   cooling consumption, 
iv.  steam consumption, 
d.  In joules, watt-hours or multiples, the total:, 
i.  electricity sold, 
ii.  heating sold, 
iii.   cooling sold iv. steam sold, 
e.   Total energy consumption within the organization, in joules or multiples., 
f.  Standards, methodologies, assumptions, and/or calculation tools used., 
g.   Source of the conversion factors used.","GRI 302: Energy 2016, 302-1"
598,7.3,"Energy consumption outside of the organization, in joules or multiples.","GRI 302: Energy 2016, 302-2-a"
599,7.3,Energy intensity ratio for the organization.,"GRI 302: Energy 2016, 302-3-a"
600,7.3,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency, 
initiatives, in joules or multiples.","GRI 302: Energy 2016, 302-4-a"
601,7.3,"Reductions in energy requirements of sold products and services achieved during the reporting period,, 
in joules or multiples.","GRI 302: Energy 2016, 302-5-a"
