,Target,Target,Available Business Disclosures,Disclosure
65,6.6,"6.6











6.6














6.6

6.6

6.6






6.6



6.6
6.6






6.6
6.6





6.6

6.6
6.6

6.6


6.6

6.6

6.6","For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high
biodiversity value outside protected areas, the following information:
i.  Geographic location;
ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;
iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the
protected area) or the high biodiversity value area outside protected areas;
iv.  Type of operation (office, manufacturing or production, or extractive);
v.  Size of operational site in km2 (or another unit, if appropriate);
vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity
value outside the protected area (terrestrial, freshwater, or maritime ecosystem);
vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area
Management Categories, Ramsar Convention, national legislation).
a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the
following:
i.   Construction or use of manufacturing plants, mines, and transport infrastructure;
ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and
non-point sources);
iii.   Introduction of invasive species, pests, and pathogens;
iv.   Reduction of species;
v.   Habitat conversion;
vi.  Changes in ecological processes outside the natural range of variation (such as salinity or
changes in groundwater level).
b.  Significant direct and indirect positive and negative impacts with reference to the following:
i.   Species affected;
ii.   Extent of areas impacted;
iii.   Duration of impacts;
iv.  Reversibility or irreversibility of the impacts.
Size and location of all habitat areas protected or restored, and whether the success of the restoration
measure was or is approved by independent external professionals.
Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the
organization has overseen and implemented restoration or protection measures.
Total number of IUCN Red List species and national conservation list species with habitats in areas
affected by the operations of the organization, by level of extinction risk:
i.  Critically endangered
ii.  Endangered
iii.  Vulnerable
iv.  Near threatened
v.  Least concern
Total volume of planned and unplanned water discharges by:
i. Destination;
ii. Quality of the water, including treatment method;
iii. Whether the water was reused by another organization.
Total number and total volume of recorded significant spills.
The following additional information for each spill that was reported in the organization’s financial
statements:
i.  Location of spill;
ii.  Volume of spill;
iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water
surfaces), and other (to be specified by the organization).
Impacts of significant spills.
Water bodies and related habitats that are significantly affected by water discharges and/or runoff,
including information on:
i.  The size of the water body and related habitat;
ii.   Whether the water body and related habitat is designated as a nationally or internationally
protected area;
iii.  The biodiversity value, such as total number of protected species.
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Biodiversity of offset habitats compared to the biodiversity of the affected areas
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Number and percentage of significant operating sites in which biodiversity risk has been assessed and
monitored
The number and percentage of total sites identified as requiring biodiversity management plans
according to stated criteria, and the number (percentage) of those sites with plans in place
Total amounts of overburden, rock, tailings, and sludges and their associated risks","304-1-a











304-2














304-3-a

304-3-b

304-4-a






306-1-a



306-3-a
306-3-b






306-3-c
306-5-a





MM1

EU13
CRE5

MM8


OG4

MM2

MM3"
66,6.A,"6.A



6.A

","A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff).
A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts.","303-1-a



303-1-c

"
67,6.B,"6.B



6.B

","A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff).
A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts.","303-1-a



303-1-c

"
68,7.1,"7.1
7.1
7.1
7.1

7.1
7.1

7.1
7.1

7.1
","Average plant availability factor by energy source and by regulatory regime
Average power outage duration
Management approach to ensure short and long-term electricity availability and reliability
Number of residential disconnections for non-payment, broken down by duration of disconnection
and by regulatory regime
Percentage of population unserved in licensed distribution or service areas
Planned capacity against projected electricity demand over the long term, broken down by energy
source and regulatory regime
Power outage frequency
Practices to address language, cultural, low literacy and disability related barriers to access and safely
use electricity and customer support services
Programs, including those in partnership with government, to improve or maintain access to electricity
and customer support services","EU30
EU29
Former EU6
EU27

EU26
EU10

EU28
Former EU24

Former EU23
"
69,7.2,"7.2















7.2
7.2
7.2
7.2

7.2
7.2
7.2","a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.  electricity consumption
ii.   heating consumption
iii.  cooling consumption
iv.steam consumption
d.   In joules, watt-hours or multiples, the total:
i.   electricity sold
ii.  heating sold
iii.cooling sold iv. steam sold
e.   Total energy consumption within the organization, in joules or multiples.
f.  Standards, methodologies, assumptions, and/or calculation tools used.
g.  Source of the conversion factors used.
Energy consumption outside of the organization, in joules or multiples.
Installed capacity, broken down by primary energy source and by regulatory regime
Net energy output broken down by primary energy source and by regulatory regime
Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development
Total amount invested in renewable energy
Total amount of renewable energy generated by source
Volume of biofuels produced and purchased meeting sustainability criteria","302-1















302-2
EU1
EU2
Former EU8

OG2
OG3
OG14"
70,7.3,"7.3















7.3
7.3
7.3

7.3

7.3
7.3
7.3

7.3
7.3
7.3

7.3","a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.   In joules, watt-hours or multiples, the total:
i.  electricity consumption
ii.   heating consumption
iii.   cooling consumption
iv.  steam consumption
d.  In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.   cooling sold iv. steam sold
e.   Total energy consumption within the organization, in joules or multiples.
f.  Standards, methodologies, assumptions, and/or calculation tools used.
g.   Source of the conversion factors used.
Energy consumption outside of the organization, in joules or multiples.
Energy intensity ratio for the organization.
Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples.
Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples.
Average generation efficiency of thermal plants by energy source and by regulatory regime
Building energy intensity
Demand-side management programs including residential, commercial, institutional and industrial
programs
Programs and progress relating to materials stewardship
Transmission and distribution losses as a percentage of total energy
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment
Volume of flared and vented hydrocarbon","302-1















302-2-a
302-3-a
302-4-a

302-5-a

EU11
CRE1
Former EU7

Former MM1
EU12
CRE8

OG6"
71,7a,"7a

7a

7a","Programs and progress relating to materials stewardship

Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development
Total amount invested in renewable energy","Former
MM11
Former EU8

OG2"
72,7b,"7b
","Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development","Former EU8
"
73,8.1,"8.1








8.1
8.1

8.1

8.1
8.1
8.1
8.1

8.1
","a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic
components for the organization’s global operations as listed below. If data are presented on a cash
basis, report the justification for this decision in addition to reporting the following basic components:
i.  Direct economic value generated: revenues;
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to
providers of capital, payments to government by country, and community investments;
iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.
b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria
used for defining significance.
Total amount of cargo tonnage
Total annual number of aircraft movements by day and night, broken down by commercial passenger,
commercial cargo, general aviation, and state aviation flights
Total number of passengers annually, broken down by passengers on international and domestic flights,
and broken down by origin-and-destination and transfer passengers, including transit passengers
Access points in low-populated or economically disadvantaged areas by type
Initiatives to enhance financial literacy by type of beneficiary
Initiatives to improve access to financial services for disadvantaged people
Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose
Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by
sector","201-1








AO3
AO2

AO1

FS13
Former FS16
FS14
FS7

FS6
"
74,8.2,"8.2








8.2



8.2



8.2


8.2","a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic
components for the organization’s global operations as listed below. If data are presented on a cash
basis, report the justification for this decision in addition to reporting the following basic components:
i.  Direct economic value generated: revenues;
ii.  Economic value distributed: operating costs, employee wages and benefits, payments to
providers of capital, payments to government by country, and community investments;
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria
used for defining significance.
a.  Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.
Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.   Employee category.
a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.
b.   Transition assistance programs provided to facilitate continued employability and the management of
career endings resulting from retirement or termination of employment.
Number, type and impact of physical and technological legacies","201-1








203-2



404-1-a



404-2


EO13"
75,8.3,"8.3



8.3

8.3

8.3
","a.   Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.
Percentage of the procurement budget used for significant locations of operation that is spent on
suppliers local to that operation (such as percentage of products and services purchased locally).
Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose
Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by
sector","203-2



204-1-a

FS7

FS6
"
76,8.4,"8.4



8.4

8.4

8.4
















8.4
8.4
8.4

8.4

8.4


8.4
8.4
8.4
8.4

8.4
8.4
8.4

8.4
8.4","Total weight or volume of materials that are used to produce and package the organization’s primary
products and services during the reporting period, by:
i.  Non-renewable materials used;
ii.  Renewable materials used.
Percentage of recycled input materials used to manufacture the organization’s primary products and
services.
a.  Percentage of reclaimed products and their packaging materials for each product category.
b.  How the data for this disclosure have been collected.
a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.   electricity consumption
ii.   heating consumption
iii.   cooling consumption
iv.  steam consumption
d.   In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.  cooling sold
iv.   steam sold
e.  Total energy consumption within the organization, in joules or multiples.
f.  Standards, methodologies, assumptions, and/or calculation tools used.
g.  Source of the conversion factors used.
Energy consumption outside of the organization, in joules or multiples.
Energy intensity ratio for the organization.
Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples.
Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples.
Actions, including circularity measures, taken to prevent waste generation in the organization’s
own activities and upstream and downstream in its value chain, and to manage significant
impacts from waste generated.
Average generation efficiency of thermal plants by energy source and by regulatory regime
Building energy intensity
Building water intensity
Demand-side management programs including residential, commercial, institutional and industrial
programs
Programs and progress relating to materials stewardship
Transmission and distribution losses as a percentage of total energy
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment
Volume and disposal of formation or produced water
Volume of flared and vented hydrocarbon","301-1-a



301-2-a

301-3

302-1
















302-2-a
302-3-a
302-4-a

302-5-a

306-2-a


EU11
CRE1
CRE2
Former EU7

Former EU11
EU12
CRE8

OG5
OG6"
77,8.5,"8.5

8.5

8.5

8.5


8.5









8.5

8.5



8.5



8.5








8.5






8.5



8.5


8.5

8.5








8.5

8.5

8.5","Total number of employees by employment contract (permanent and temporary), by gender.

Total number of employees by employment contract (permanent and temporary), by region.

Total number of employees by employment type (full-time and part-time), by gender.

Whether a significant portion of the organization’s activities are performed by workers who are not
employees. If applicable, a description of the nature and scale of work performed by workers who are
not employees.
a.   When a significant proportion of employees are compensated based on wages subject to minimum
wage rules, report the relevant ratio of the entry level wage by gender at significant locations of
operation to the minimum wage.
b.   When a significant proportion of other workers (excluding employees) performing the organization’s
activities are compensated based on wages subject to minimum wage rules, describe the actions
taken to determine whether these workers are paid above the minimum wage.
c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender.
In circumstances in which different minimums can be used as a reference, report which minimum
wage is being used.
d.  The definition used for ‘significant locations of operation’.
Percentage of senior management at significant locations of operation that are hired from the local
community.
a.   Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.
a.   Total number and rate of new employee hires during the reporting period, by age group, gender and
region.
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and
region.
Benefits which are standard for full-time employees of the organization but are not provided to temporary
or part-time employees, by significant locations of operation. These include, as a minimum:
i.  Life insurance;
ii.  Health care;
iii.  Disability and invalidity coverage;
iv.  Parental leave;
v.  Retirement provision;
vi.  Stock ownership;
vii.  Others.
a.   Total number of employees that were entitled to parental leave, by gender.
b.  Total number of employees that took parental leave, by gender.
c.  Total number of employees that returned to work in the reporting period after parental leave ended,
by gender.
d.   Total number of employees that returned to work after parental leave ended that were still employed
12 months after their return to work, by gender.
e.   Return to work and retention rates of employees that took parental leave, by gender.
Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category.
a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.
b.   Transition assistance programs provided to facilitate continued employability and the management of
career endings resulting from retirement or termination of employment.
Percentage of total employees by gender and by employee category who received a regular
performance and career development review during the reporting period.
a.   Percentage of individuals within the organization’s governance bodies in each of the following
diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).
b.   Percentage of employees per employee category in each of the following diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.   Other indicators of diversity where relevant (such as minority or vulnerable groups).
Ratio of the basic salary and remuneration of women to men for each employee category, by significant
locations of operation.
Percentage of employees eligible to retire in the next 5 and 10 years broken down by job category and
by region
Programs and processes to ensure the availability of a skilled workforce","102-8-a

102-8-b

102-8-c

102-8-d


202-1









202-2-a

203-2



401-1



401-2-a








401-3






404-1-a



404-2


404-3-a

405-1








405-2-b

EU15

Former EU14"
78,8.6,"8.6


","a.   Total number and rate of new employee hires during the reporting period, by age group, gender and
region.
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and
region.","401-1


"
79,8.7,"8.7








8.7



8.7
","a.   Operations and suppliers considered to have significant risk for incidents of:
i.  child labor;
ii.   young workers exposed to hazardous work.
b.   Operations and suppliers considered to have significant risk for incidents of child labor either in
terms of:
i.   type of operation (such as manufacturing plant) and supplier;
ii.  countries or geographic areas with operations and suppliers considered at risk.
c.   Measures taken by the organization in the reporting period intended to contribute to the effective
abolition of child labor.
Operations and suppliers considered to have significant risk for incidents of forced or compulsory labor
either in terms of:
i.  Type of operation (such as manufacturing plant) and supplier;
ii.  Countries or geographic areas with operations and suppliers considered at risk.
Measures taken by the organization in the reporting period intended to contribute to the elimination of all
forms of forced or compulsory labor.","408-1








409-1



409-1-b
"
80,8.8,"8.8

8.8



8.8





8.8


8.8






8.8

8.8


8.8



8.8


8.8



8.8


8.8


8.8


8.8













8.8

























8.8


















8.8






8.8





8.8

8.8






8.8

8.8


8.8
8.8
8.8

8.8

8.8
8.8
","Percentage of total employees covered by collective bargaining agreements.

a.   Minimum number of weeks’ notice typically provided to employees and their representatives prior to
the implementation of significant operational changes that could substantially affect them.
b.  For organizations with collective bargaining agreements, report whether the notice period and
provisions for consultation and negotiation are specified in collective agreements.
A statement of whether an occupational health and safety management system has been implemented,
including whether:
i.  the system has been implemented because of legal requirements and, if so, a list of the
requirements;
ii.   the system has been implemented based on recognized risk management and/or management
system standards/guidelines and, if so, a list of the standards/guidelines.
A description of the scope of workers, activities, and workplaces covered by the occupational health and
safety management system, and an explanation of whether and, if so, why any workers, activities, or
workplaces are not covered.
A description of the processes used to identify work-related hazards and assess risks on a routine and
non-routine basis, and to apply the hierarchy of controls in order to eliminate hazards and minimize
risks, including:
i.  how the organization ensures the quality of these processes, including the competency of
persons who carry them out;
ii.   how the results of these processes are used to evaluate and continually improve the
occupational health and safety management system.
A description of the processes for workers to report work-related hazards and hazardous situations, and
an explanation of how workers are protected against reprisals.
A description of the policies and processes for workers to remove themselves from work situations that
they believe could cause injury or ill health, and an explanation of how workers are protected against
reprisals.
A description of the processes used to investigate work-related incidents, including the processes to
identify hazards and assess risks relating to the incidents, to determine corrective actions using the
hierarchy of controls, and to determine improvements needed in the occupational health and safety
management system.
A description of the occupational health services’ functions that contribute to the identification and
elimination of hazards and minimization of risks, and an explanation of how the organization ensures the
quality of these services and facilitates workers’ access to them.
A description of the processes for worker participation and consultation in the development,
implementation, and evaluation of the occupational health and safety management system, and for
providing access to and communicating relevant information on occupational health and safety to
workers.
Where formal joint management–worker health and safety committees exist, a description of their
responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers
are not represented by these committees.
A description of any occupational health and safety training provided to workers, including generic
training as well as training on specific work-related hazards, hazardous activities, or hazardous
situations
A description of the organization’s approach to preventing or mitigating significant negative occupational
health and safety impacts that are directly linked to its operations, products or services by its business
relationships, and the related hazards and risks.
a.  If the organization has implemented an occupational health and safety management system based
on legal requirements and/or recognized standards/guidelines:
i.  the number and percentage of all employees and workers who are not employees but whose
work and/or workplace is controlled by the organization, who are covered by such a system;
ii.   the number and percentage of all employees and workers who are not employees but whose
work and/or workplace is controlled by the organization, who are covered by such a system that
has been internally audited;
iii.  the number and percentage of all employees and workers who are not employees but whose
work and/or workplace is controlled by the organization, who are covered by such a system that
has been audited or certified by an external party.
b.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
c.  Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
a.  For all employees:
i.  The number and rate of fatalities as a result of work-related injury;
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.  The number and rate of recordable work-related injuries;
iv.   The main types of work-related injury;
v.   The number of hours worked.
b.  For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.  The number and rate of fatalities as a result of work-related injury;
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.   The number and rate of recordable work-related injuries;
iv.   The main types of work-related injury;
v.  The number of hours worked.
c.  The work-related hazards that pose a risk of high-consequence injury, including:
i.   how these hazards have been determined;
ii.   which of these hazards have caused or contributed to high-consequence injuries during the
reporting period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.   Any actions taken or underway to eliminate other work-related hazards and minimize risks using the
hierarchy of controls.
e.   Whether the rates have been calculated based on 200,000 or 1,000,000 hours worked.
f.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
g.   Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
a.   For all employees:
i.  The number of fatalities as a result of work-related ill health;
ii.   The number of cases of recordable work-related ill health;
iii.   The main types of work-related ill health.
b.   For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.   The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
c.  The work-related hazards that pose a risk of ill health, including:
i.  how these hazards have been determined;
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting
period;
iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
e.  Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
a.   Total number of incidents of discrimination during the reporting period.
b.  Status of the incidents and actions taken with reference to the following:
i.   Incident reviewed by the organization;
ii.  Remediation plans being implemented;
iii.  Remediation plans that have been implemented, with results reviewed through routine internal
management review processes;
iv.  Incident no longer subject to action.
a.   Operations and suppliers in which workers’ rights to exercise freedom of association or collective
bargaining may be violated or at significant risk either in terms of: i. type of operation (such as
manufacturing plant) and supplier; ii. countries or geographic areas with operations and suppliers
considered at risk.
b.  Measures taken by the organization in the reporting period intended to support rights to exercise
freedom of association and collective bargaining.
Percentage of new suppliers that were screened using social criteria.

a.   Number of suppliers assessed for social impacts.
b.  Number of suppliers identified as having significant actual and potential negative social impacts.
c.  Significant actual and potential negative social impacts identified in the supply chain.
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts
with which improvements were agreed upon as a result of assessment.
e.   Percentage of suppliers identified as having significant actual and potential negative social impacts
with which relationships were terminated as a result of assessment, and why.
Days worked by contractor and subcontractor employees involved in construction, operation &
maintenance activities
Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Number of process safety events, by business activity
Number of strikes and lock-outs exceeding one week's duration, by country
Percentage of contractor and subcontractor employees that have undergone relevant health and safety
training
Percentage of the organization operating in verified compliance with an internationally recognized health
and safety management system
Percentage of working time lost due to industrial disputes, strikes and/or lock-outs, by country
Policies and requirements regarding health and safety of employees and employees of contractors and
subcontractors","102-41-a

402-1



403-1-a





403-1-b


403-2-a






403-2-b

403-2-c


403-2-d



403-3-a


403-4-a



403-4-b


403-5-a


403-7-a


403-8













403-9

























403-10


















406-1






407-1





414-1-a

414-2






EU17

MM8


OG13
MM4
EU18

CRE6

FP3
Former EU16
"
81,9.1,"9.1








9.1



9.1
9.1
","a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic
components for the organization’s global operations as listed below. If data are presented on a cash
basis, report the justification for this decision in addition to reporting the following basic components:
i.   Direct economic value generated: revenues;
ii.  Economic value distributed: operating costs, employee wages and benefits, payments to
providers of capital, payments to government by country, and community investments;
iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria
used for defining significance.
a.  Extent of development of significant infrastructure investments and services supported.
b.  Current or expected impacts on communities and local economies, including positive and negative
impacts where relevant.
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.
Number, type and impact of physical and technological legacies
Stakeholder participation in decision making processes related to energy planning and infrastructure
development","201-1








203-1



EO13
Former EU19
"
82,9.3,"9.3

9.3
","Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose
Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by
sector","FS7

FS6
"
83,9.4,"9.4








9.4



9.4

9.4","a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic
components for the organization’s global operations as listed below. If data are presented on a cash
basis, report the justification for this decision in addition to reporting the following basic components:
i.   Direct economic value generated: revenues;
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to
providers of capital, payments to government by country, and community investments;
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria
used for defining significance.
a.  Extent of development of significant infrastructure investments and services supported.
b.  Current or expected impacts on communities and local economies, including positive and negative
impacts where relevant.
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.
Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development
Total amount invested in renewable energy","201-1








203-1



Former EU8

OG2"
84,9.5,"9.5








9.5
9.5
9.5

9.5","a.   Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic
components for the organization’s global operations as listed below. If data are presented on a cash
basis, report the justification for this decision in addition to reporting the following basic components:
i.  Direct economic value generated: revenues;
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to
providers of capital, payments to government by country, and community investments;
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’.
b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria
used for defining significance.
Number, type and impact of physical and technological legacies
Programs and progress relating to materials stewardship
Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development
Total amount invested in renewable energy","201-1








EU13
MM11
Former EU8

OG2"
85,9a,"9a
9a
","Number, type and impact of physical and technological legacies
Stakeholder participation in decision making processes related to energy planning and infrastructure
development","EO13
Former EU19
"
